FD,time,apache 
3082,305,6
3079,306,6
3079,307,6
3082,308,6
3080,309,6
3081,310,6
3079,311,6
3082,312,6
3082,313,6
3081,314,6
3082,315,6
3081,316,6
3080,317,6
3081,318,6
3079,319,6
3082,320,6
3081,321,6
3080,322,6
3082,323,6
3082,324,6
3082,325,6
3082,326,6
3082,327,6
3082,328,6
3081,329,6
3079,330,6
3082,331,6
3082,332,6
3083,333,6
3081,334,6
3079,335,6
3081,336,6
3079,337,6
3079,338,6
3082,339,6
3082,340,6
3079,341,6
3082,342,6
3082,343,6
3082,344,6
3082,345,6
3082,346,6
3082,347,6
3080,348,6
3080,349,6
3080,350,6
3081,351,6
3079,352,6
3082,353,6
3082,354,6
3080,355,6
3080,356,6
3080,357,6
3079,358,6
3082,359,6
3082,360,6
3082,361,6
3082,362,6
3079,363,6
3079,364,6
3082,365,6
3083,366,6
3081,367,6
3080,368,6
3082,369,6
3080,370,6
3080,371,6
3079,372,6
3079,373,6
3082,374,6
3082,375,6
3082,376,6
3082,377,5
3082,378,5
3112,379,6
3116,380,6
3112,381,8
3112,382,8
3112,383,8
3112,384,8
3112,385,8
3112,386,8
3111,387,8
3110,388,8
3111,389,8
3110,390,8
3111,391,8
3110,392,8
3111,393,8
3110,394,8
3111,395,8
3109,396,8
3112,397,8
3112,398,8
3112,399,8
3112,400,8
3111,401,8
3111,402,8
3115,403,8
3113,404,8
3110,405,8
3110,406,8
3111,407,8
3110,408,8
3111,409,8
3110,410,8
3110,411,8
3110,412,8
3112,413,8
3109,414,8
3110,415,8
3113,416,8
3109,417,8
3112,418,8
3109,419,8
3112,420,8
3111,421,8
3113,422,8
3113,423,8
3110,424,8
3111,425,8
3110,426,8
3111,427,8
3113,428,8
3110,429,8
3111,430,8
3110,431,8
3112,432,8
3112,433,8
3109,434,8
3115,435,8
3113,436,8
3115,437,8
3117,438,8
3113,439,8
3114,440,8
3113,441,8
3114,442,8
3112,443,8
3115,444,8
3112,445,8
3114,446,8
3112,447,8
3112,448,8
3112,449,8
3113,450,8
3111,451,8
3110,452,8
3111,453,8
3110,454,8
3111,455,8
3110,456,8
3111,457,8
3110,458,8
3073,459,8
3072,460,8
3136,461,8
3134,462,8
3137,463,8
3134,464,8
3133,465,8
3138,466,8
3136,467,8
3136,468,8
3136,469,8
3134,470,8
3135,471,8
3133,472,8
3136,473,8
3136,474,8
3136,475,8
3136,476,8
3136,477,8
3144,478,8
3141,479,8
3141,480,8
3144,481,8
3143,482,8
3142,483,8
3143,484,8
3141,485,8
3144,486,8
3132,487,8
3132,488,8
3134,489,8
3132,490,8
3132,491,8
3132,492,8
3129,493,8
3126,494,8
3126,495,8
3125,496,8
3124,497,8
3125,498,8
3124,499,8
3126,500,8
3124,501,8
3124,502,8
3126,503,8
3127,504,8
3130,505,8
3138,506,8
3136,507,8
3139,508,8
3138,509,8
3134,510,8
3183,511,8
3181,512,8
3185,513,8
3187,514,8
3169,515,8
3169,516,8
3168,517,8
3171,518,8
3171,519,8
3173,520,8
3173,521,8
3170,522,8
3173,523,8
3171,524,8
3168,525,8
3171,526,8
3169,527,8
3172,528,8
3171,529,8
3169,530,8
3169,531,8
3170,532,8
3172,533,8
3174,534,8
3174,535,8
3171,536,8
3171,537,8
3134,538,8
3131,539,8
3131,540,8
3172,541,8
3172,542,8
3171,543,8
3171,544,8
3174,545,8
3172,546,8
3173,547,8
3169,548,8
3175,549,8
3172,550,8
3172,551,8
3171,552,8
3172,553,8
3170,554,8
3182,555,8
3182,556,8
3182,557,8
3182,558,8
3182,559,8
3179,560,8
3179,561,8
3180,562,8
3143,563,8
3131,564,8
3170,565,8
3172,566,8
3170,567,8
3169,568,8
3169,569,8
3170,570,8
3170,571,8
3172,572,8
3172,573,8
3170,574,8
3170,575,8
3173,576,8
3171,577,8
3175,578,8
3169,579,8
3172,580,8
3171,581,8
3170,582,8
3170,583,8
3169,584,8
3172,585,8
3171,586,8
3173,587,8
3172,588,8
3173,589,8
3170,590,8
3172,591,8
3173,592,8
3173,593,8
3131,594,8
3134,595,8
3134,596,8
3134,597,8
3133,598,8
3133,599,8
3133,600,8
3131,601,8
3133,602,8
3132,603,8
3134,604,8
3132,605,8
3133,606,5
3131,607,6
3134,608,8
3133,609,12
3134,610,12
3133,611,12
3132,612,12
3133,613,12
3132,614,12
3133,615,12
3131,616,12
3103,617,12
3102,618,12
3104,619,12
3102,620,12
3102,621,12
3102,622,12
3102,623,12
3137,624,12
3137,625,12
3102,626,12
3104,627,12
3103,628,12
3102,629,12
3104,630,12
3104,631,12
3104,632,12
3135,633,12
3131,634,12
3134,635,12
3134,636,12
3131,637,12
3130,638,12
3130,639,12
3130,640,12
3101,641,12
3100,642,12
3101,643,12
3100,644,12
3101,645,12
3104,646,12
3100,647,12
3135,648,12
3129,649,12
3132,650,12
3131,651,12
3130,652,12
3101,653,12
3103,654,12
3101,655,12
3099,656,12
3102,657,12
3100,658,12
3099,659,12
3100,660,12
3099,661,12
3101,662,12
3100,663,12
3100,664,12
3099,665,12
3103,666,12
3093,667,12
3093,668,12
3092,669,12
3095,670,12
3092,671,12
3095,672,12
3094,673,12
3092,674,12
3095,675,12
3093,676,12
3093,677,12
3128,678,12
3124,679,12
3123,680,12
3126,681,12
3123,682,12
3093,683,12
3094,684,12
3093,685,12
3094,686,12
3092,687,12
3093,688,12
3093,689,12
3094,690,12
3093,691,12
3096,692,12
3095,693,12
3095,694,12
3095,695,12
3093,696,12
3093,697,12
3098,698,12
3094,699,12
3095,700,12
3094,701,12
3093,702,12
3091,703,12
3089,704,12
3092,705,12
3092,706,12
3091,707,12
3090,708,12
3091,709,12
3089,710,12
3092,711,12
3091,712,12
3090,713,12
3091,714,12
3089,715,12
3091,716,12
3089,717,12
3092,718,12
3089,719,12
3092,720,12
3092,721,12
3089,722,12
3091,723,12
3090,724,12
3091,725,12
3090,726,12
3091,727,12
3089,728,12
3092,729,12
3092,730,12
3092,731,12
3092,732,12
3091,733,12
3095,734,12
3089,735,12
3092,736,12
3092,737,12
3089,738,12
3092,739,12
3092,740,12
3091,741,12
3091,742,12
3093,743,12
3091,744,12
3090,745,12
3091,746,12
3089,747,12
3092,748,12
3094,749,12
3089,750,12
3092,751,12
3092,752,12
3089,753,12
3092,754,12
3092,755,12
3089,756,12
3092,757,12
3089,758,12
3083,759,12
3083,760,12
3080,761,12
3083,762,12
3083,763,12
3080,764,12
3083,765,12
3083,766,12
3084,767,12
3083,768,12
3083,769,12
3083,770,12
3080,771,12
3083,772,12
3080,773,12
3083,774,12
3081,775,12
3080,776,12
3081,777,12
3079,778,12
3082,779,12
3080,780,12
3080,781,12
3082,782,12
3082,783,12
3081,784,12
3080,785,12
3082,786,12
3081,787,12
3079,788,12
3078,789,12
3076,790,12
3079,791,12
3077,792,12
3076,793,12
3079,794,12
3076,795,12
3079,796,12
3079,797,12
3079,798,12
3079,799,12
3080,800,12
3077,801,12
3078,802,12
3077,803,12
3078,804,12
3077,805,12
3078,806,12
3076,807,12
3077,808,12
3077,809,12
3078,810,12
3077,811,12
3078,812,12
3076,813,12
3079,814,12
3077,815,12
3077,816,12
3075,817,12
3080,818,12
3076,819,12
3073,820,12
3076,821,12
3076,822,12
3076,823,12
3076,824,12
3075,825,12
3074,826,12
3075,827,12
3073,828,12
3078,829,12
3074,830,12
3070,831,12
3070,832,12
3073,833,12
3073,834,12
3072,835,12
3077,836,12
3072,837,12
3070,838,12
3073,839,12
3070,840,12
3073,841,12
3073,842,12
3073,843,12
3073,844,12
3071,845,12
3074,846,12
3073,847,12
3070,848,12
