user,nice,system,iowait,steal,idle,Concurrency,time,apache 
0.56,0.44,0.44,1.18,0,97.38,10,433,8
0.63,0.13,0.31,1.44,0,97.49,10,434,8
0.75,0.87,0.62,1.49,0,96.27,10,435,8
0.31,0.25,0.25,0.63,0,98.56,10,436,8
0.63,0.31,0.44,0.69,0,97.94,10,437,8
0.56,0.62,0.31,1.69,0,96.82,10,438,8
0.69,0.13,0.25,1.44,0,97.49,10,439,8
0.5,0.19,0.25,0.56,0,98.5,10,440,8
0.5,0.25,0.38,1.56,0,97.31,10,441,8
0.81,0.13,0.19,1.19,0,97.68,10,442,8
0.69,0.06,0.19,0.31,0,98.75,10,443,8
0.13,0.19,0.19,1.38,0,98.12,10,444,8
0.06,0.06,0.12,0.12,0,99.63,10,445,8
0.63,0,0.19,0,0,99.18,10,446,8
0.06,0,0.06,0,0,99.87,10,447,8
0.5,0,0.31,0,0,99.18,10,448,8
1,0,0.38,0,0,98.62,10,449,8
0.81,0,0.38,0.38,0,98.43,10,450,8
2.32,0,0.5,0,0,97.18,10,451,8
2.57,0,0.13,0,0,97.3,10,452,8
3.32,0,0.31,0,0,96.36,10,453,8
3.44,0.06,0.56,0.06,0,95.87,10,454,8
0.06,0,0.13,0,0,99.81,10,455,8
5.83,0,92,0.31,0,1.86,10,456,8
5.98,0,92.78,0,0,1.25,10,457,8
5.97,0,92.35,0,0,1.68,10,458,8
5.32,0,92.92,0,0,1.75,10,459,8
5.98,0,92.34,0,0,1.68,10,460,8
5.65,0,90.19,0,0,4.16,10,461,8
6.01,0,91.2,0.19,0,2.6,10,462,8
5.9,0,91.49,0.12,0,2.49,10,463,8
5.38,0,83.3,1.06,0,10.26,10,464,8
5.85,0,91.98,0.37,0,1.8,10,465,8
6.2,0.06,89.29,0.63,0,3.82,10,466,8
5.41,0.06,75.7,2.24,0,16.59,10,467,8
5.57,0,78.4,1.75,0,14.28,10,468,8
5.51,0,86.92,1.13,0,6.45,10,469,8
6.04,0,85.27,1.42,0,7.27,10,470,8
4.84,0,66.07,5.02,0,24.07,10,471,8
5.87,0,81.39,1.75,0,10.99,10,472,8
5.12,0.12,70.14,4.31,0,20.3,10,473,8
5.47,0,79.88,1.43,0,13.23,10,474,8
5.74,0,87.77,0.87,0,5.62,10,475,8
5.81,0,84.25,1.42,0,8.52,10,476,8
5.93,0,82.39,2,0,9.68,10,477,8
5.91,0.06,84.24,1.48,0,8.31,10,478,8
5.76,0.25,83.1,1.18,0,9.72,10,479,8
6.8,0.06,89.15,0.56,0,3.43,10,480,8
7.6,0,87.89,0.62,0,3.89,10,481,8
5.85,0,89.69,0.44,0,4.02,10,482,8
6.48,0,89.6,0.5,0,3.43,10,483,8
6.39,0,87.53,1.19,0,4.89,10,484,8
6.11,0,91.48,0.62,0,1.79,10,485,8
6.09,0,87.14,1.06,0,5.71,10,486,8
6.09,0,89.43,1.55,0,2.92,10,487,8
6.48,0,90.03,1.06,0,2.43,10,488,8
6.38,0,80.67,1.67,0,11.28,10,489,8
5.88,0,86.44,0.99,0,6.69,10,490,8
7.46,0,87.51,1.37,0,3.67,10,491,8
7.13,0,87.53,1.43,0,3.91,10,492,8
6.15,0,88.45,1.24,0,4.16,10,493,8
7.1,0,85.8,0.93,0,6.17,10,494,8
5.82,0,91.99,0,0,2.19,10,495,8
6.49,0,90.14,0.31,0,3.06,10,496,8
5.99,0,91.45,0.19,0,2.37,10,497,8
5.85,0,89.05,1.12,0,3.98,10,498,8
9.39,0,86.84,0.68,0,3.09,10,499,8
6.99,0,84.53,1.37,0,7.11,10,500,8
7.04,0,89.91,0.5,0,2.55,10,501,8
10.63,0,82.01,0.74,0,6.61,10,502,8
7.87,0,87.52,0.44,0,4.18,10,503,8
7.2,0,88.95,0.56,0,3.29,10,504,8
7.15,0,81.2,0.55,0,11.1,10,505,8
7.15,0,88,0.56,0,4.29,10,506,8
5.8,0,92.08,0.25,0,1.87,10,507,8
7.19,0,89.28,0.31,0,3.22,10,508,8
6.36,0,90.74,0.31,0,2.59,10,509,8
6.29,0,83.12,0.87,0,9.72,10,510,8
6.75,0,89.71,0.43,0,3.1,10,511,8
6.01,0,91.26,0.5,0,2.23,10,512,8
7.64,0,67.2,2.96,0,22.19,10,513,8
7.86,0,86.13,0.68,0,5.34,10,514,8
7.12,0,89.17,0.44,0,3.27,10,515,8
6.6,0,90.47,0.31,0,2.62,10,516,8
6.45,0,89.08,0.5,0,3.97,10,517,8
5.71,0,80.4,1.99,0,11.91,10,518,8
7.41,0,88.25,0.57,0,3.77,10,519,8
6.25,0,89.56,0.5,0,3.69,10,520,8
6.7,0,88.34,0,0,4.96,10,521,8
6.99,0,89.95,0,0,3.06,10,522,8
6.68,0,90.73,0,0,2.59,10,523,8
6.52,0,91.1,0,0,2.38,10,524,8
6.7,0,91.55,0,0,1.75,10,525,8
6.75,0,91.19,0.25,0,1.81,10,526,8
7.16,0,90.46,0.19,0,2.2,10,527,8
6.53,0,88.99,0.37,0,4.11,10,528,8
7.02,0,90.49,0.25,0,2.24,10,529,8
